"The first name cannot be empty.","Voornaam is een vereist veld."
"The initials cannot be empty.","Initialen is een vereist veld."
"Invalid email address '%s'.","Het e-mailadres '%s' is ongeldig."
"Gender is required.","Geslacht is een vereist veld."
"The Date of Birth is requiredd.","Geboortedaturm is een vereist veld."
"The street is required.","Straat is een vereist veld."
"House number must be numeric.","Het huisnummer mag alleen getallen bevatten."
"The zip/postal is required.","Postcode is een vereist veld."
"The city is required.","Woonplaats is een vereist veld."
"The country is required.","Land is een vereist veld."
"The telephone number is required.","Telefoonnummer is een vereist veld."
"Cannot create an empty invoice.","Er kan geen factuur zonder orderregels worden aangemaakt."
"Failed to send the invoice.","Het verzenden van de factuur is mislukt."
"The amount due must be greater than 0.","Het te betalen bedrag moet groter zijn dan 0."
"Capayable refused the payment","Betaling geweigerd door Capayable"
"AMOUNT_EXCEEDS_LIMIT","Uw bestelling overschrijdt het maximumbedrag voor achteraf betalen."
"BALANCE_EXEEDS_LIMIT","Het totaal aan openstaande betalingen overschrijdt het maximumbedrag voor achteraf betalen."
"NOT_CREDITWORTHY","Uw krediet is niet toereikend."
"CREDITCHECK_UNAVAILABLE","Achteraf betalen is momenteel niet beschikbaar."
"NOT_FOUND","Bedrijf niet gevonden, controleer uw bedrijfsinformatie."
"For additional information contact %s on %s .","Voor aanvullende informatie kunt u contact opnemen met %s via %s ."
"Order", "Bestelling"
"Initials","Initialen"
"Date of Birth","Geboortedatum"
"Day","Dag"
"DD","DD"
"Month","Maand"
"MM","MM"
"Year","Jaar"
"YYYY","JJJJ"
"Gender","Geslacht"
"Street","Straatnaam",
"Postal Code","Postcode",
"City", "Woonplaats",
"House number","Huisnummer"
"House number suffix","Huisnummer toevoeging"
"Is Corporation","Bedrijf"
"Is Sole Proprietor","Eenmanszaak"
"No","Nee"
"Yes","Ja"
"Corporation Name","Bedrijfsnaam"
"Chamber of Commerce Number","KvK-nummer"
